"Timestamp","Your background - I am a researcher or practitioner in (select all that apply):","When I work with music-related data, this typically involves/includes (select all that apply):","I have encountered the need for modeling music related data and resources with ontologies (choose 3 if not applicable).","My research or project work related to music data comprises multiple stakeholders with varied requirements.","Are you familiar with or already using any existing music ontologies or vocabularies? (select all that apply or specify if not mentioned here) ","I have found the reuse or extension of the existing ontologies to be a challenging task (choose 3 if not applicable).","I have found the interoperability of two or more existing ontologies (e.g. combining them) to be a challenging task (choose 3 if not applicable).","I think that the existing ontologies are lacking in their coverage of concepts related to music history and musical cultural heritage.","I think that there is a lack of high-quality, varied, and large datasets containing competency questions about music history and cultural heritage.","I am interested in using an ontology that describes the metadata related to artists, compositions, performances, recordings, and links pertaining to different musical genres, time periods and datasets.","I am interested in using an ontology that represents the sources of music such as manuscripts, collections and related information such as creator, type and context of the source.","I am interested in using an ontology dedicated to the description and categorization of musical instruments as well as their evolution over time and place. ","I am interested in using an ontology that enables interoperability between different music notations while reusing existing ontologies.","I am interested in using a high-quality, varied, and large dataset of competency questions about music history and cultural heritage.","Please, provide a short description of how you would be using music ontologies and/or competency questions in your work/projects. ","If you have further comments, please write them below."
"2023/05/01 6:27:34 pm CET","Music Information Retrieval","Symbolic notation -- this question will only accept one answer; I also use music metatdata and theory and notation .... ","4","4","Issues of genre classification ... and different representations of the same piece (score, recording, etc.)","3","3","4","5","4","5","1","4","3","I'm not so clear on how using ontologies would help my work",""
"2023/05/01 6:31:04 pm CET","All of the above ","Music metadata","5","5","MELD;CALMA Vocabulary;Etree Vocabulary;Timeline Ontology","2","2","4","3","5","4","5","5","5","Representing performance ",""
"2023/05/01 7:40:44 pm CET","Soundscapes","Texts and images","5","5","None","5","4","2","4","1","5","5","1","5","Na",""
"2023/05/01 7:44:00 pm CET","Semantic Web","Music metadata","5","5","Music Ontology","3","1","4","3","5","4","4","3","3","Not currently active in the field, but generally interested in capturing performance and studio metadata.",""
"2023/05/01 7:57:43 pm CET","Computational Musicology","Music theory and notation","1","3","none of the above","3","4","4","3","1","3","3","3","3","I have no focus on music ontologies.  We work with extensive repertories of encoded data  including basic metadata.  ",""
"2023/05/01 8:56:27 pm CET","Music Information Retrieval","Music annotations","4","2","DOREMUS;Music Ontology;MELD;MusicXML Ontology;OMRAS2 Chord Ontology","3","3","4","4","5","5","4","5","4","-",""
"2023/05/01 10:23:12 pm CET","Semantic Web;Computational Musicology;Music Information Retrieval","Music metadata;Music theory and notation;Instruments / Medium of performance;Music annotations","4","4","DOREMUS;Music Ontology;MELD","4","4","4","4","4","4","4","3","4","Music queries",""
"2023/05/02 7:57:37 am CET","Semantic Web","Music metadata","2","2","MusicXML Ontology;MEI","2","4","2","3","3","3","2","2","3"," ",""
"2023/05/02 7:59:37 am CET","Music Information Retrieval","Music metadata;Music theory and notation;Instruments / Medium of performance;Music annotations","4","5","Music Ontology;MELD;Audio Features Ontology","3","3","3","5","5","5","5","5","3","for establishing links between all the (digital) artefacts / works covered",""
"2023/05/02 8:42:56 am CET","I work for a research funder","project monitoring","3","5","not applicable","3","3","3","4","5","4","4","5","5","It seems to me that musicological studies are subject to an enormous and fundamental shift in scholarship, a more complex shift than the one in textual studies (and in some social sciences fields) which has already taken place.","I work for a research funder. I consider as a main challenge the lack of adeqequate repositories for such research, the produced datasets produced by such research and their long term curation. As a project funder, we are interested in supporting research with long term scholarly impact (and not data graveyards). Coherent ontologies (and their interoperability) may be an important element in this respect."
"2023/05/02 9:09:43 am CET","Computational Musicology;Music Information Retrieval","Music metadata;Music theory and notation;Instruments / Medium of performance;Music annotations;Audio Data","5","5","DOREMUS;Music Ontology;MELD;Audio Features Ontology;Music Instrument taxonomies;MusicXML Ontology;Studio Ontology;Timeline Ontology;Tonality Ontology","3","2","5","5","5","5","5","5","5","My work centers on creating mappings between data standardisations in order to bring them together to focus on a musicological/cultural question. The most challenging is the inclusion of audio data, with its immensely fine granularity, in dialogue with ontologies that are more abstract/conceptual oriented. The closest I have devised is a set of nested networks, but these are primarily for project specific needs.",""
"2023/05/02 9:45:28 am CET","Computational Musicology","Music metadata;Instruments / Medium of performance;Music annotations","5","5","DOREMUS;Music Instrument taxonomies;MusicXML Ontology","3","3","3","4","4","4","4","2","4","to make categories more precise or establish them more universal based on different data sets",""
"2023/05/02 9:46:12 am CET","Semantic Web;Computational Musicology;Music Information Retrieval","Music metadata;Music theory and notation;Music annotations","5","5","DOREMUS;Music Ontology;MELD;Audio Features Ontology;CALMA Vocabulary;Etree Vocabulary;MUSO Ontology;Music Instrument taxonomies;MusicXML Ontology;OMRAS2 Chord Ontology;Segment Ontology;Similarity Ontology;Timeline Ontology;MusicOWL, MIDI LD Cloud","2","4","5","5","5","5","4","4","4","Interconnection of online and user-contributed music resources; study of music reception / discourse in the context of competency","Regarding interoperability between different music notations, I would caution to introduce new ontologies in favour of re-use of established encoding frameworks, particularly MEI which i) has benefited from several decades of domain-expert consideration and ii) already is capable of modelling several different notation types, with relatively straightforward extension mechanisms in place in case further ones are required"
